season,posteam,primary_qb_id,primary_qb_name,primary_starts,first_start_week,is_primary_season_starter
2017,TB,00-0031503,J.Winston,11,2,True
2017,TEN,00-0032268,M.Mariota,16,1,True
2017,WAS,00-0029604,K.Cousins,16,1,True
2018,ARI,00-0034343,J.Rosen,13,4,True
2018,ATL,00-0026143,M.Ryan,16,1,True
2018,BAL,00-0026158,J.Flacco,9,1,True
2018,BUF,00-0034857,J.Allen,11,2,True
2018,CAR,00-0027939,C.Newton,14,1,True
2018,CHI,00-0033869,M.Trubisky,15,1,True
2018,CIN,00-0027973,A.Dalton,10,1,True
2018,CLE,00-0034855,B.Mayfield,14,3,True
2018,DAL,00-0033077,D.Prescott,18,1,True
2018,DEN,00-0028986,C.Keenum,16,1,True
2018,DET,00-0026498,M.Stafford,16,1,True
2018,GB,00-0023459,A.Rodgers,15,1,True
2018,HOU,00-0033537,D.Watson,17,1,True
2018,IND,00-0029668,A.Luck,18,1,True
2018,JAX,00-0031407,B.Bortles,11,1,True
2018,KC,00-0033873,P.Mahomes,18,1,True
2018,LA,00-0033106,J.Goff,19,1,True
2018,LAC,00-0022942,P.Rivers,18,1,True
2018,LV,00-0031280,D.Carr,16,1,True
2018,MIA,00-0029701,R.Tannehill,11,1,True
2018,MIN,00-0029604,K.Cousins,16,1,True
2018,NE,00-0019596,T.Brady,19,1,True
2018,NO,00-0020531,D.Brees,17,1,True
2018,NYG,00-0022803,E.Manning,16,1,True
2018,NYJ,00-0034869,S.Darnold,13,1,True
2018,PHI,00-0032950,C.Wentz,11,3,True
2018,PIT,00-0022924,B.Roethlisberger,16,1,True
2018,SEA,00-0029263,R.Wilson,17,1,True
2018,SF,00-0033319,N.Mullens,8,9,True
2018,TB,00-0031503,J.Winston,10,4,True
2018,TEN,00-0032268,M.Mariota,13,3,True
2018,WAS,00-0023436,A.Smith,10,1,True
2019,ARI,00-0035228,K.Murray,16,1,True
2019,ATL,00-0026143,M.Ryan,15,1,True
2019,BAL,00-0034796,L.Jackson,16,1,True
2019,BUF,00-0034857,J.Allen,13,1,True
2019,CAR,00-0034577,K.Allen,13,3,True
2019,CHI,00-0033869,M.Trubisky,14,1,True
2019,CIN,00-0027973,A.Dalton,13,1,True
2019,CLE,00-0034855,B.Mayfield,16,1,True
2019,DAL,00-0033077,D.Prescott,16,1,True
2019,DEN,00-0026158,J.Flacco,8,1,True
2019,DET,00-0026498,M.Stafford,8,1,True
2019,GB,00-0023459,A.Rodgers,18,1,True
2019,HOU,00-0033537,D.Watson,17,1,True
2019,IND,00-0033119,J.Brissett,14,1,True
2019,JAX,00-0035289,G.Minshew II,8,1,True
2019,KC,00-0033873,P.Mahomes,16,1,True
2019,LA,00-0033106,J.Goff,16,1,True
2019,LAC,00-0022942,P.Rivers,16,1,True
2019,LV,00-0031280,D.Carr,16,1,True
2019,MIA,00-0023682,R.Fitzpatrick,13,1,True
2019,MIN,00-0029604,K.Cousins,17,1,True
2019,NE,00-0019596,T.Brady,17,1,True
2019,NO,00-0020531,D.Brees,11,1,True
2019,NYG,00-0035710,D.Jones,12,3,True
2019,NYJ,00-0034869,S.Darnold,13,1,True
2019,PHI,00-0032950,C.Wentz,16,1,True
2019,PIT,00-0034771,M.Rudolph,10,2,True
2019,SEA,00-0029263,R.Wilson,18,1,True
2019,SF,00-0031345,J.Garoppolo,19,1,True
2019,TB,00-0031503,J.Winston,16,1,True
2019,TEN,00-0029701,R.Tannehill,14,6,True
2019,WAS,00-0028986,C.Keenum,8,1,True
2020,ARI,00-0035228,K.Murray,15,1,True
2020,ATL,00-0026143,M.Ryan,16,1,True
2020,BAL,00-0034796,L.Jackson,17,1,True
2020,BUF,00-0034857,J.Allen,19,1,True
2020,CAR,00-0031237,T.Bridgewater,15,1,True
2020,CHI,00-0033869,M.Trubisky,9,1,True
2020,CIN,00-0036442,J.Burrow,10,1,True
2020,CLE,00-0034855,B.Mayfield,18,1,True
2020,DAL,00-0027973,A.Dalton,9,6,True
2020,DEN,00-0035704,D.Lock,12,1,True
2020,DET,00-0026498,M.Stafford,15,1,True
2020,GB,00-0023459,A.Rodgers,18,1,True
